Country/Other,Total Cases,Total Deaths,Total Recovered,Active Cases,Tot Cases/ 1M pop,Deaths/ 1M pop,Total Tests,Tests/ 1M pop,Population
Afghanistan,225659,7946,206248.0,11465.0,5537,195,1302555.0,31961.0,40754388
Albania,334726,3602,329428.0,1696.0,116777,1257,1941032.0,677173.0,2866374
Algeria,271852,6881,183061.0,81910.0,5995,152,230960.0,5093.0,45350148
Andorra,48015,165,47563.0,287.0,619844,2130,249838.0,3225256.0,77463
Angola,105384,1934,103419.0,31.0,3009,55,1499795.0,42818.0,35027343
Anguilla,3904,12,3879.0,13.0,256336,788,51382.0,3373736.0,15230
Antigua and Barbuda,9106,146,8954.0,6.0,91509,1467,18901.0,189943.0,99509
Argentina,10064948,130576,9932643.0,1729.0,218755,2838,35716069.0,776264.0,46010234
Armenia,449357,8751,435162.0,5444.0,151199,2945,3242901.0,1091164.0,2971966
Aruba,44224,292,42438.0,1494.0,410969,2714,177885.0,1653068.0,107609
Australia,11758693,22687,11731218.0,4788.0,451064,870,81916639.0,3142326.0,26068792
Austria,6081287,22542,6054934.0,3811.0,670727,2486,211273524.0,23302116.0,9066710
Azerbaijan,832312,10302,821881.0,129.0,80805,1000,7674567.0,745089.0,10300205
Bahamas,38084,844,36366.0,874.0,95087,2107,257839.0,643767.0,400516
Bahrain,727547,1573,725332.0,642.0,407822,882,10913376.0,6117422.0,1783983
Bangladesh,2045408,29477,1998448.0,17483.0,12183,176,15254399.0,90862.0,167885689
Barbados,109503,620,108647.0,236.0,380188,2153,801451.0,2782594.0,288023
Belarus,994037,7118,985592.0,1327.0,105381,755,13646641.0,1446722.0,9432800
Belgium,4809688,34376,4769079.0,6233.0,412202,2946,37018657.0,3172590.0,11668278
Belize,70782,688,70085.0,9.0,171722,1669,576016.0,1397453.0,412190
Benin,28014,163,27847.0,4.0,2191,13,604310.0,47268.0,12784726
Bermuda,18860,165,18685.0,10.0,304493,2664,1029558.0,16622128.0,61939
Bhutan,62697,21,61564.0,1112.0,79571,27,2303734.0,2923739.0,787941
Bolivia,1207206,22399,1177145.0,7662.0,100662,1868,2710261.0,225993.0,11992656
Bosnia and Herzegovina,403070,16352,379084.0,7634.0,124048,5032,1884721.0,580036.0,3249317
Botswana,330251,2801,327049.0,401.0,135284,1147,2026898.0,830300.0,2441162
Brazil,37789040,705313,36249161.0,834566.0,175474,3275,63776166.0,296146.0,215353593
British Virgin Islands,7305,64,,,238757,2092,107339.0,3508269.0,30596
Brunei,310522,225,243601.0,66696.0,697127,505,717784.0,1611437.0,445431
Bulgaria,1311707,38456,1271187.0,2064.0,191641,5618,11344922.0,1657500.0,6844597
Burkina Faso,22056,396,21596.0,64.0,998,18,248995.0,11265.0,22102838
Burundi,54241,38,53569.0,634.0,4296,3,345742.0,27386.0,12624840
CAR,15368,113,15200.0,55.0,3063,23,81294.0,16205.0,5016678
Cabo Verde,64238,415,63755.0,68.0,113159,731,401622.0,707482.0,567678
Cambodia,138940,3056,135884.0,0.0,8093,178,3091420.0,180062.0,17168639
Cameroon,125090,1974,122807.0,309.0,4482,71,1751774.0,62762.0,27911548
Canada,4716000,53541,4648330.0,14129.0,122850,1395,66388390.0,1729386.0,38388419
Caribbean Netherlands,11682,38,10476.0,1168.0,438398,1426,30126.0,1130559.0,26647
Cayman Islands,31472,37,8553.0,22882.0,467797,550,222773.0,3311280.0,67277
Chad,7701,194,4874.0,2633.0,442,11,191341.0,10988.0,17413580
Channel Islands,101717,228,101321.0,168.0,576421,1292,1252808.0,7099551.0,176463
Chile,5291598,64497,5227013.0,88.0,274885,3350,49979167.0,2596294.0,19250195
China,503302,5272,379053.0,118977.0,347,4,160000000.0,110461.0,1448471400
Colombia,6378000,142961,6190683.0,44356.0,123814,2775,36951507.0,717327.0,51512762
Comoros,9109,161,8939.0,9.0,10038,177,,,907419
Congo,25375,386,24006.0,983.0,4377,67,347815.0,59991.0,5797805
Cook Islands,7152,2,7150.0,0.0,407034,114,19690.0,1120596.0,17571
